iter	Logloss
0	0.6881037223
1	0.6828259277
2	0.6775741946
3	0.6721920901
4	0.6673426888
5	0.6628776988
6	0.6579117435
7	0.6529370009
8	0.6481586141
9	0.6441953447
10	0.6396899795
11	0.6354897278
12	0.6309668235
13	0.6268045411
14	0.6230184712
15	0.6189861983
16	0.6149214498
17	0.6107055221
18	0.606904768
19	0.6035467219
20	0.6002608289
21	0.5969224006
22	0.5933149269
23	0.5899091457
24	0.586395925
25	0.5824793246
26	0.579346264
27	0.5761692345
28	0.573561736
29	0.570165325
30	0.5670956467
31	0.5648656595
32	0.5620121142
33	0.559708699
34	0.5568451296
35	0.5541015665
36	0.5515566637
37	0.5490725449
38	0.5468202441
39	0.544239823
40	0.5416207249
41	0.5392573699
42	0.5372256772
43	0.5352353148
44	0.5328285543
45	0.5304492382
46	0.52822784
47	0.5260553076
48	0.5242680664
49	0.5218842717
50	0.5196527716
51	0.5181588056
52	0.5165827912
53	0.5149051365
54	0.5129810422
55	0.5116284862
56	0.5100203567
57	0.5088309918
58	0.5075312369
59	0.5057616147
60	0.5040077922
61	0.5027186525
62	0.5012709087
63	0.4995708948
64	0.4980957945
65	0.4963991585
66	0.4947662935
67	0.4930776746
68	0.4917636795
69	0.4901391909
70	0.4892479829
71	0.4878009547
72	0.4869982216
73	0.4857030519
74	0.4843970995
75	0.4834166403
76	0.4817644465
77	0.4805061963
78	0.4795046887
79	0.4779652216
80	0.4770351435
81	0.4756407525
82	0.474428135
83	0.4732846034
84	0.4726334202
85	0.471554315
86	0.4703739029
87	0.4693702692
88	0.468413124
89	0.4673444463
90	0.4668259646
91	0.4660387221
92	0.4654293375
93	0.4643033648
94	0.4633051492
95	0.4622460888
96	0.4613482685
97	0.4604898905
98	0.4594662309
99	0.4584833872
100	0.4577434628
101	0.4568528313
102	0.455929992
103	0.4551206606
104	0.4543778759
105	0.4536672359
106	0.4529294043
107	0.4518577446
108	0.450954299
109	0.450156177
110	0.449594235
111	0.4487687476
112	0.4479504381
113	0.4470921851
114	0.4463824073
115	0.4457071941
116	0.4449049128
117	0.4440872789
118	0.4433529865
119	0.4426327428
120	0.4420284859
121	0.4414921864
122	0.4408852444
123	0.4402615003
124	0.4395021711
125	0.4387121138
126	0.4384117095
127	0.4378955366
128	0.4374870378
129	0.4368847554
130	0.4363120075
131	0.4358768961
132	0.4354372219
133	0.434737724
134	0.4345221849
135	0.434006916
136	0.4334773355
137	0.4329185432
138	0.4322329836
139	0.4316715137
140	0.4313023902
141	0.4307108005
142	0.4300774989
143	0.4294727553
144	0.4290643745
145	0.4286159094
146	0.4279274215
